"","Product","TitleOfReviews","NameOfReviewer","Date","Ratings","TypeOfReview","Reviews"
"38","Hills Garden Trigger Sprayer, 1 Liter Capacity Multicolor",NA,NA,NA,"5.0 out of 5 stars",NA,NA
"39","Hills Garden Trigger Sprayer, 1 Liter Capacity Multicolor",NA,NA,NA,NA,NA,NA
"40","Hills Garden Trigger Sprayer, 1 Liter Capacity Multicolor",NA,NA,NA,NA,NA,NA
"41","Hills Garden Trigger Sprayer, 1 Liter Capacity Multicolor",NA,"Allan Cotterell","Reviewed in Australia on 8 January 2024","3.6 out of 5 stars","Verified Purchase","good size & quality"
"42","Hills Garden Trigger Sprayer, 1 Liter Capacity Multicolor",NA,"Sleeper","Reviewed in Australia on 20 February 2024","5.0 out of 5 stars","Verified Purchase","This is a very high-quality spray bottle. You will not be disappointed."
"43","Hills Garden Trigger Sprayer, 1 Liter Capacity Multicolor",NA,"Allan Cotterell","Reviewed in Australia on 8 January 2024","1.0 out of 5 stars","Verified Purchase","Great item, larger size fits purpose"
"44","Hills Garden Trigger Sprayer, 1 Liter Capacity Multicolor",NA,"Vonnie Allison","Reviewed in Australia on 21 October 2023","5.0 out of 5 stars","Verified Purchase","Gets the job done"
"45","Hills Garden Trigger Sprayer, 1 Liter Capacity Multicolor",NA,"Julez","Reviewed in Australia on 12 April 2023","5.0 out of 5 stars","Verified Purchase","Very good product, so far it works well"
"46","Hills Garden Trigger Sprayer, 1 Liter Capacity Multicolor",NA,"Liz","Reviewed in Australia on 4 August 2023","5.0 out of 5 stars",NA,NA
"47","Hills Garden Trigger Sprayer, 1 Liter Capacity Multicolor",NA,"Ludim Smith","Reviewed in Australia on 7 February 2023","5.0 out of 5 stars",NA,NA
"48","Hills Garden Trigger Sprayer, 1 Liter Capacity Multicolor",NA,NA,NA,"5.0 out of 5 stars",NA,NA
"49","Hills Garden Trigger Sprayer, 1 Liter Capacity Multicolor",NA,NA,NA,NA,NA,NA
"50","Hills Garden Trigger Sprayer, 1 Liter Capacity Multicolor",NA,NA,NA,NA,NA,NA
