"","Product","TitleOfReviews","NameOfReviewer","Date","Ratings","TypeOfReview","Reviews"
"35","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,"Sam Leaa","Reviewed in Australia on 1 July 2021","5.0 out of 5 stars","Verified Purchase","So goodDoes exactly what I needed it to do"
"36","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,"Cindy","Reviewed in Australia on 29 December 2020","5.0 out of 5 stars","Verified Purchase","Works really good. My grass is so much greener."
"37","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,NA,NA,"5.0 out of 5 stars",NA,NA
"38","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,NA,NA,NA,NA,NA
"39","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,NA,NA,NA,NA,NA
"40","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,NA,NA,NA,NA,NA
"41","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,"Sarah","Reviewed in Australia on 11 September 2022","4.7 out of 5 stars","Verified Purchase","Mix with soil then lay onto ground for best result, water daily for first 2 weeks"
"42","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,"Robert Y.","Reviewed in Australia on 24 November 2021","5.0 out of 5 stars","Verified Purchase","Great item works as stated. Didn't burn my lawn. Saw my lawn start to grow after 5 days of applying."
"43","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,"Wayne R Richardson","Reviewed in Australia on 23 January 2022","5.0 out of 5 stars","Verified Purchase","Ease of application"
"44","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,"Darren","Reviewed in Australia on 27 September 2020","5.0 out of 5 stars","Verified Purchase","This product came in smaller pack size than what I normally get from Bunnings. The smaller size was better for my lawn size but a little more expensive."
"45","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,"Sam Leaa","Reviewed in Australia on 1 July 2021","5.0 out of 5 stars","Verified Purchase","So goodDoes exactly what I needed it to do"
"46","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,"Cindy","Reviewed in Australia on 29 December 2020","5.0 out of 5 stars","Verified Purchase","Works really good. My grass is so much greener."
"47","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,NA,NA,"5.0 out of 5 stars",NA,NA
"48","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,NA,NA,NA,NA,NA
"49","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,NA,NA,NA,NA,NA
"50","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,NA,NA,NA,NA,NA
